,指数代码,指数简称,指数@收盘价:不复权[20231122],指数@涨跌幅:前复权[20231122],指数@同花顺概念指数,market_code,code
163,885893.TI,国家大基金持股,1193.026,-1.6382,同花顺概念指数,48,885893
164,885890.TI,抖音概念,1224.092,0.4842,同花顺概念指数,48,885890
165,885888.TI,C2M概念,1357.891,-1.3183,同花顺概念指数,48,885888
166,885887.TI,数据中心,1399.733,-0.9936,同花顺概念指数,48,885887
167,885886.TI,超级电容,1616.011,-1.4278,同花顺概念指数,48,885886
168,885884.TI,航空发动机,1750.644,-1.3529,同花顺概念指数,48,885884
169,885883.TI,医疗废物处理,1204.704,-0.6492,同花顺概念指数,48,885883
170,885882.TI,消毒剂,1519.634,-0.849,同花顺概念指数,48,885882
171,885881.TI,云办公,1582.217,-1.1122,同花顺概念指数,48,885881
172,885879.TI,流感,1417.796,0.0624,同花顺概念指数,48,885879
173,885878.TI,HJT电池,2395.516,-1.8105,同花顺概念指数,48,885878
174,885877.TI,转基因,1606.741,0.0014,同花顺概念指数,48,885877
175,885876.TI,网红经济,1231.223,0.2238,同花顺概念指数,48,885876
176,885875.TI,MiniLED,1442.021,-1.75,同花顺概念指数,48,885875
177,885874.TI,云游戏,1188.636,-0.2345,同花顺概念指数,48,885874
178,885873.TI,分拆上市意愿,1382.175,-1.0118,同花顺概念指数,48,885873
179,885871.TI,胎压监测,1818.432,-2.4715,同花顺概念指数,48,885871
180,885869.TI,三季报预增,2887.068,-1.0336,同花顺概念指数,48,885869
181,885868.TI,无线耳机,1558.758,-1.1273,同花顺概念指数,48,885868
182,885867.TI,标普道琼斯A股,1367.059,-0.8468,同花顺概念指数,48,885867
183,885866.TI,数字货币,1667.685,-1.0634,同花顺概念指数,48,885866
184,885865.TI,钴,1509.472,-1.7771,同花顺概念指数,48,885865
185,885864.TI,光刻胶,2661.403,-1.7027,同花顺概念指数,48,885864
186,885863.TI,磷化工,1792.445,-0.8517,同花顺概念指数,48,885863
187,885861.TI,ETC,1579.736,-0.6603,同花顺概念指数,48,885861
188,885860.TI,中船系,1226.828,-1.3866,同花顺概念指数,48,885860
189,885856.TI,仿制药一致性评价,1530.25,-0.1348,同花顺概念指数,48,885856
190,885854.TI,垃圾分类,1380.64,-1.0027,同花顺概念指数,48,885854
191,885852.TI,青蒿素,1649.221,-0.8425,同花顺概念指数,48,885852
192,885851.TI,烟草,1275.227,-0.8843,同花顺概念指数,48,885851
193,885849.TI,黑龙江自贸区,1333.404,-0.6317,同花顺概念指数,48,885849
194,885846.TI,动物疫苗,1491.741,-0.0354,同花顺概念指数,48,885846
195,885845.TI,生物疫苗,1886.974,-0.4467,同花顺概念指数,48,885845
196,885844.TI,国产操作系统,1624.066,-0.8248,同花顺概念指数,48,885844
197,885843.TI,华为海思概念股,2309.549,-1.463,同花顺概念指数,48,885843
198,885842.TI,数字乡村,1571.087,0.0492,同花顺概念指数,48,885842
199,885840.TI,人民币贬值受益,1471.48,-0.7479,同花顺概念指数,48,885840
200,885839.TI,人造肉,1216.656,-0.5284,同花顺概念指数,48,885839
201,885838.TI,眼科医疗,1718.094,-0.5352,同花顺概念指数,48,885838
202,885835.TI,参股银行,1163.893,-0.5549,同花顺概念指数,48,885835
203,885834.TI,华为汽车,2106.053,-2.425,同花顺概念指数,48,885834
204,885832.TI,长三角一体化,1207.202,-0.7158,同花顺概念指数,48,885832
205,885829.TI,丙烯酸,1561.041,-1.0734,同花顺概念指数,48,885829
206,885827.TI,横琴新区,1383.765,-0.9326,同花顺概念指数,48,885827
207,885825.TI,冰雪产业,1066.778,-0.1169,同花顺概念指数,48,885825
208,885823.TI,氢能源,1775.387,-1.2559,同花顺概念指数,48,885823
209,885820.TI,数字孪生,1351.905,-0.2279,同花顺概念指数,48,885820
210,885819.TI,电力物联网,1483.584,-1.555,同花顺概念指数,48,885819
211,885818.TI,工业大麻,1390.783,-0.7461,同花顺概念指数,48,885818
212,885816.TI,超清视频,1692.803,-0.2402,同花顺概念指数,48,885816
213,885814.TI,信托概念,905.68,-0.7914,同花顺概念指数,48,885814
214,885812.TI,农业种植,2172.058,-0.1015,同花顺概念指数,48,885812
215,885811.TI,玉米,2224.784,-0.0865,同花顺概念指数,48,885811
216,885810.TI,大豆,2022.98,-0.4466,同花顺概念指数,48,885810
217,885809.TI,柔性屏,1818.508,-1.6826,同花顺概念指数,48,885809
218,885808.TI,养鸡,1330.24,0.7823,同花顺概念指数,48,885808
