id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,时间
4963036450788024	,NqrRH3j04,"发布了头条文章：《十一——静心观市231031》  
十一——静心观市231031
 ",['https://weibo.com/ttarticle/p/show?id=2309404963036451701112'],,,,2023-10-31T22:46:01,微博 weibo.com,8,0,0,,,2023-10-31 22:46:01
4962919324322738	,NqoOMi8xA,"发布了头条文章：《位置。利弗莫尔：10.31复盘记录》  
位置。利弗莫尔：10.31复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404962919325762003'],,,,2023-10-31T15:00:36,微博 weibo.com,17,5,0,,,2023-10-31 15:00:36
4962807955327092	,NqlV9mlOQ,"发布了头条文章：《图谋——静心观市231031》  
图谋——静心观市231031
 ",['https://weibo.com/ttarticle/p/show?id=2309404962807958602478'],,,,2023-10-31T07:38:04,微博 weibo.com,7,2,0,,,2023-10-31 07:38:04
4961471005723835	,NpN8Mo11V,"发布了头条文章：《琢磨了下。利弗莫尔：10.27复盘记录》  
琢磨了下。利弗莫尔：10.27复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404961471007424830'],,,,2023-10-27T15:05:30,微博 weibo.com,32,5,0,,,2023-10-27 15:05:30
4961190360121635	,NpFQ80vDR,"发布了头条文章：《3000点——静心观市231026》  
3000点——静心观市231026
 ",['https://weibo.com/ttarticle/p/show?id=2309404961190358155597'],,,,2023-10-26T20:30:18,微博 weibo.com,6,0,0,,,2023-10-26 20:30:18
4961112862753657	,NpDP8bylP,"发布了头条文章：《歇息。利弗莫尔：10.26复盘记录》  
歇息。利弗莫尔：10.26复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404961112860000820'],,,,2023-10-26T15:22:22,微博 weibo.com,30,4,0,,,2023-10-26 15:22:22
4960832154503412	,NpwwniTxG,"发布了头条文章：《造牛——静心观市231025》  
造牛——静心观市231025
 ",['https://weibo.com/ttarticle/p/show?id=2309404960832156205278'],,,,2023-10-25T20:46:56,微博 weibo.com,17,3,0,,,2023-10-25 20:46:56
4960748792185304	,NpulV9auQ,"发布了头条文章：《逃离。利弗莫尔：10.25复盘记录》  
逃离。利弗莫尔：10.25复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404960748790219228'],,,,2023-10-25T15:15:41,微博 weibo.com,28,4,0,,,2023-10-25 15:15:41
4960639161469741	,Nprv66alv,"发布了头条文章：《消息——静心观市231025》  
消息——静心观市231025
 ",['https://weibo.com/ttarticle/p/show?id=2309404960639163696038'],,,,2023-10-25T08:00:03,微博 weibo.com,5,0,0,,,2023-10-25 08:00:03
4960382574662013	,NpkPfjyNL,"发布了头条文章：《护盘。利弗莫尔：10.24复盘记录》  
护盘。利弗莫尔：10.24复盘记录
 ",['https://weibo.com/ttarticle/p/show?id=2309404960382577149760'],,,,2023-10-24T15:00:28,微博 weibo.com,30,6,0,,,2023-10-24 15:00:28
